code,num
C1072,762.29
C1128,1286.33
C1456,500.92
C1840,505.96
C1332,1092.64
C1563,1662.03
C1794,937.82
C1640,464.42
C1377,369.79
C2072,255.63
C1472,476.27
C1006,289.25
C1083,401.25
C1311,247.73
C2676,276.53
C2318,231.03
C1603,423.57
C2523,295.47
C2177,182.66
C2411,613.82
C2033,172.57
C1604,537.02
C2535,527.07
C1040,461.54
C2417,486.63
C1812,124.07
C2253,126.14
C1294,580.84
C1772,513.0
C2646,531.72
C1152,966.98
C2423,148.81
C1844,412.86
C1318,246.42
C1729,84.07
C1602,291.22
C1239,421.21
C1721,590.83
C1902,814.79
C1855,309.18
C2600,426.71
C1071,498.12
C2295,427.65
C1621,562.99
C1852,809.99
C2555,1295.24
C1297,453.35
C2323,634.81
C2215,421.34
C2112,376.07
C1830,807.4
C2602,263.95
C2608,1059.03
C1215,699.93
C2369,634.19
C1158,310.83
C1887,574.16
C1189,243.94
C1637,471.0
C1225,114.61
C2374,364.44
C2397,555.22
C1105,974.98
C1782,447.33
C1629,109.58
C1708,285.64
C2144,456.7
C1617,956.18
C1149,561.79
C1323,468.25
C1064,676.64
C1019,300.31
C2269,622.71
C1416,864.09
C1250,896.99
C1741,451.1
C1016,702.51
C2675,1000.14
C2436,689.79
C2039,715.94
C1253,667.48
C2028,1161.4
C1166,309.68
C1135,276.29
C1216,329.52
C1593,242.09
C1826,254.43
C1827,416.04
C1564,278.63
C1495,938.51
C2653,904.38
C1392,599.63
C2128,312.41
C1282,489.15
C1521,1009.2
C2076,955.75
C1060,618.35
C2473,1096.76
C2557,817.05
C1835,728.47
C2224,910.35
C2222,384.64
C2430,810.14
C2497,611.69
C1494,1010.21
C1457,581.1
C1525,1212.18
C1712,584.25
C2267,915.47
C1623,291.11
C2131,552.83
C2691,1070.06
C1147,828.92
C1692,887.83
C1570,823.56
C1474,103.8
C1633,137.05
C2113,628.09
C2175,932.69
C2303,1399.09
C2547,597.81
C2292,742.53
C1496,674.71
C1289,384.96
C1849,708.52
C1003,316.71
C2268,560.45
C2551,627.02
C2688,93.14
C1030,43.16
C1327,82.91
C2451,570.89
C1749,527.79
C1349,279.44
C2043,260.23
C1229,262.0
C2363,403.87
C1414,446.41
C2174,469.46
C2091,136.92
C2335,622.95
C1841,78.07
C2404,119.54
C1683,242.39
C1038,339.59
C2456,282.18
C1266,477.34
C2152,46.61
C1267,423.78
C2189,237.4
