code,num
C1072,754.11
C1128,1225.24
C1456,521.55
C1840,508.87
C1332,1080.28
C1563,1671.99
C1794,923.92
C1640,461.85
C1377,363.32
C2072,243.81
C1472,473.23
C1006,309.36
C1083,416.65
C1311,234.87
C2676,305.67
C2318,212.99
C1603,426.37
C2523,296.19
C2177,187.29
C2411,627.84
C2033,175.54
C1604,522.23
C2535,505.31
C1040,479.55
C2417,451.11
C1812,130.3
C2253,132.51
C1294,586.78
C1772,508.76
C2646,546.03
C1152,944.56
C2423,148.47
C1844,417.32
C1318,250.58
C1729,88.93
C1602,301.34
C1239,414.55
C1721,609.17
C1902,825.23
C1855,307.95
C2600,427.02
C1071,498.21
C2295,435.52
C1621,559.79
C1852,811.7
C2555,1251.89
C1297,439.14
C2323,612.72
C2215,410.82
C2112,365.08
C1830,812.65
C2602,279.55
C2608,1035.85
C1215,704.61
C2369,643.36
C1158,308.97
C1887,591.68
C1189,245.77
C1637,469.25
C1225,122.14
C2374,358.43
C2397,561.82
C1105,954.7
C1782,469.26
C1629,115.16
C1708,287.59
C2144,490.89
C1617,970.34
C1149,579.83
C1323,479.56
C1064,677.15
C1019,292.82
C2269,624.83
C1416,840.17
C1250,940.68
C1741,449.69
C1016,695.24
C2675,995.69
C2436,712.7
C2039,700.18
C1253,682.93
C2028,1161.06
C1166,310.36
C1135,270.66
C1216,335.13
C1593,246.69
C1826,258.37
C1827,397.93
C1564,285.49
C1495,933.03
C2653,901.36
C1392,590.22
C2128,312.28
C1282,486.29
C1521,1009.44
C2076,982.26
C1060,611.67
C2473,1049.83
C2557,800.23
C1835,751.48
C2224,909.49
C2222,386.78
C2430,797.62
C2497,605.46
C1494,1020.17
C1457,584.96
C1525,1182.95
C1712,605.54
C2267,929.05
C1623,291.87
C2131,553.25
C2691,1057.4
C1147,809.75
C1692,929.12
C1570,795.2
C1474,104.81
C1633,142.49
C2113,609.54
C2175,907.57
C2303,1366.75
C2547,603.05
C2292,768.85
C1496,676.07
C1289,402.77
C1849,692.31
C1003,298.73
C2268,528.01
C2551,646.73
C2688,89.79
C1030,49.65
C1327,83.42
C2451,567.45
C1749,528.27
C1349,294.31
C2043,264.25
C1229,267.74
C2363,362.88
C1414,422.04
C2174,470.62
C2091,134.43
C2335,635.7
C1841,75.84
C2404,120.53
C1683,246.12
C1038,369.62
C2456,281.19
C1266,459.43
C2152,47.13
C1267,423.96
C2189,254.22
