iter	RMSE
0	385.1757226
1	378.9373953
2	372.9828916
3	366.4447352
4	360.6823313
5	355.416328
6	350.1483827
7	345.1697878
8	340.17521
9	335.1391513
10	330.8415428
11	326.652645
12	321.8798104
13	316.9221414
14	313.169595
15	309.2935546
16	305.5641758
17	301.3998503
18	297.787507
19	294.0350786
20	290.907604
21	288.1013672
22	285.3251327
23	281.7517796
24	278.8618979
25	275.0548522
26	272.3596214
27	269.2731226
28	266.8714733
29	264.2587348
30	261.3170704
31	259.0073682
32	256.1927798
33	253.3396374
34	250.8650339
35	249.07981
36	246.671181
37	244.8385223
38	242.2961914
39	240.3704851
40	237.8970231
41	235.7679806
42	234.0196155
43	232.3905777
44	230.6666335
45	228.9745286
46	227.4987129
47	225.5763332
48	224.2037694
49	222.6888003
50	221.3008538
51	219.5812177
52	218.1520046
53	216.426768
54	215.0793119
55	213.9225072
56	212.4592765
57	211.2222705
58	210.0796225
59	208.8417232
60	207.7604283
61	206.6087719
62	205.2918032
63	204.1698753
64	203.1234425
65	202.3198874
66	201.42926
67	200.5521167
68	199.5504031
69	198.8020449
70	198.1402834
71	197.961351
72	196.8255748
73	195.9276318
74	195.1964382
75	194.2750463
76	193.7223602
77	192.9491954
78	192.3516452
79	191.9117912
80	190.9064114
81	190.7623611
82	190.3373516
83	189.6044403
84	188.6363662
85	187.9879528
86	187.4035272
87	186.876189
88	186.1302026
89	185.5466
90	184.8497193
91	183.9600968
92	183.2114871
93	182.6788897
94	181.9977341
95	181.4922868
96	181.1236365
97	180.7254242
98	180.4217309
99	180.0376512
100	179.8247665
101	179.6619162
102	179.130852
103	178.7584736
104	178.0756114
105	177.8380895
106	177.2397484
107	176.7356281
108	176.2575739
109	175.804486
110	175.2277406
111	174.8334249
112	174.3354642
113	173.9774639
114	173.537754
115	173.1196597
116	172.5980634
117	172.1634912
118	171.8082962
119	171.3375252
120	170.9838708
121	170.4032486
122	170.1779902
123	169.637309
124	169.4845007
125	169.0479481
126	168.7114738
127	168.4856257
128	168.1082055
129	167.7606829
130	167.3248493
131	167.092697
132	166.771935
133	166.6578555
134	165.9279336
135	165.7856062
136	165.3328415
137	165.1833443
138	164.9254927
139	164.6506454
140	164.4301588
141	164.1669114
142	163.8168258
143	163.6314719
144	163.3281892
145	162.9795359
146	162.7313599
147	162.3130183
148	162.1601993
149	161.7054936
150	161.5833687
151	161.2624708
152	160.8965885
153	160.6299172
154	160.2877192
155	159.9309896
156	159.4888196
157	158.9809121
158	158.821306
159	158.5491743
160	158.2437036
161	158.1482123
162	157.9132278
163	157.5131734
164	157.2576016
165	156.7522174
166	156.560243
167	156.3306837
168	155.9955787
169	155.8949868
170	155.7949493
171	155.6449101
172	155.3982397
173	155.2950833
174	155.1360878
175	155.0195011
176	154.7302015
177	154.5047413
178	154.2810756
179	153.9286333
180	153.8391822
181	153.5922324
182	153.3672097
183	153.2599031
184	153.1550438
185	152.9343564
186	152.6448706
187	152.2581943
188	151.9153171
189	151.8204011
190	151.6416242
191	151.5391882
192	151.453511
193	151.3870641
194	151.1277761
195	150.9012172
196	150.8048284
197	150.5981269
198	150.2945342
199	150.2084013
200	149.9391226
201	149.6836142
202	149.6085696
203	149.3898831
204	149.1860169
205	149.0012823
206	148.9330753
207	148.8458684
208	148.7600204
209	148.5064168
210	148.4270351
211	148.3479066
212	148.2733758
213	148.196478
214	148.1326132
215	148.0143886
216	147.9365419
217	147.8605885
218	147.7011188
219	147.6263638
220	147.3790404
221	147.1542236
222	147.0840898
223	147.0168847
224	146.8571189
225	146.6252964
226	146.5534617
227	146.484387
228	146.4183785
229	146.2601224
230	146.1965606
231	145.8890455
232	145.565579
233	145.2925674
234	145.2298481
235	145.0180709
236	144.8499558
237	144.7962575
238	144.5460549
239	144.4832797
240	144.425729
241	144.1238338
242	144.0629331
243	143.7441008
244	143.4903519
245	143.2899497
246	143.1064506
247	143.0531325
248	142.9942802
249	142.9363587
250	142.8790466
251	142.8226394
252	142.7671231
253	142.7132681
254	142.3951589
255	142.2696205
256	142.0802323
257	141.8758509
258	141.5476977
259	141.3343485
260	140.9842729
261	140.9323991
262	140.6595413
263	140.3473555
264	140.2760646
265	140.1064743
266	139.8823992
267	139.8368839
268	139.6548806
269	139.4674302
270	139.1883762
271	139.1401323
272	139.0937473
273	138.9692917
274	138.8510417
275	138.5685753
276	138.4002632
277	138.1701303
278	138.0076005
279	137.7673701
280	137.6556828
281	137.3661516
282	137.3028057
283	137.0543289
284	136.9538915
285	136.8673716
286	136.8165956
287	136.7557736
288	136.6967034
289	136.6391223
290	136.5026365
291	136.2932081
292	136.1405731
293	136.0915168
294	135.9068689
295	135.6389371
296	135.5061879
297	135.3110296
