iter	Passed	Remaining
0	0	954
1	1	874
2	2	791
3	3	799
4	3	754
5	4	766
6	5	783
7	6	754
8	6	737
9	7	727
10	7	706
11	8	691
12	8	676
13	9	665
14	10	661
15	10	653
16	11	643
17	11	639
18	12	634
19	12	625
20	13	617
21	13	611
22	14	609
23	14	603
24	15	597
25	15	589
26	16	586
27	16	578
28	17	572
29	17	569
30	18	562
31	18	564
32	19	559
33	19	555
34	20	553
35	20	552
36	21	548
37	21	546
38	22	542
39	22	539
40	22	537
41	23	534
42	23	530
43	24	528
44	24	526
45	25	524
46	25	521
47	26	518
48	26	518
49	27	515
50	27	513
51	28	514
52	28	512
53	29	511
54	29	510
55	30	507
56	32	544
57	33	541
58	33	538
59	34	535
60	34	533
61	35	530
62	35	527
63	36	527
64	36	524
65	36	521
66	37	521
67	37	519
68	38	516
69	38	516
70	39	513
71	39	511
72	40	509
73	40	508
74	41	506
75	41	505
76	42	504
77	42	502
78	42	500
79	43	499
80	43	497
81	44	495
82	44	495
83	45	493
84	45	491
85	46	490
86	46	489
87	47	487
88	47	486
89	47	484
90	48	482
91	48	481
92	49	480
93	49	478
94	50	477
95	50	476
96	51	475
97	51	474
98	52	473
99	52	472
100	52	470
101	53	469
102	53	468
103	54	467
104	54	466
105	55	465
106	55	465
107	56	463
108	56	462
109	57	461
110	57	460
111	57	458
112	58	457
113	58	457
114	59	456
115	59	454
116	60	453
117	60	454
118	61	452
119	61	452
120	62	450
121	62	449
122	63	449
123	63	448
124	63	447
125	64	447
126	64	446
127	65	445
128	65	444
129	66	443
130	66	442
131	67	442
132	67	441
133	68	440
134	68	438
135	68	437
136	69	437
137	69	436
138	70	434
139	70	433
140	71	433
141	71	432
142	71	430
143	72	429
144	72	429
145	73	428
146	73	427
147	74	426
148	74	425
149	75	425
150	75	424
151	75	423
152	76	422
153	76	422
154	77	421
155	77	420
156	78	420
157	78	420
158	79	419
159	79	419
160	80	418
161	80	417
162	81	417
163	81	416
164	82	415
165	82	415
166	83	414
167	83	413
168	83	412
169	84	412
170	84	411
171	85	410
172	85	409
173	86	409
174	86	408
175	87	408
176	87	407
177	88	406
178	88	406
179	88	405
180	89	404
181	89	403
182	90	402
183	90	401
184	91	400
185	91	400
186	91	399
187	92	398
188	92	397
189	93	397
190	93	396
191	93	395
192	94	394
193	94	394
194	95	393
195	95	392
196	96	391
197	96	391
198	97	390
199	97	390
200	97	389
201	98	388
202	98	387
203	99	387
204	99	386
205	100	385
206	100	384
207	100	384
208	101	383
209	101	383
