"단지코드","총세대수","임대건물구분","지역","공급유형","전용면적","전용면적별세대수","공가수","자격유형","임대보증금","임대료","지하철역수","버스정류장수","단지내주차면수","등록차량수"
"C1925",601,"상가","강원도","임대상가",32.1,1,9,"D",8200000,153020,0,4,117,75
"C1925",601,"상가","강원도","임대상가",32.1,1,9,"D",4032000,153020,0,4,117,75
"C1925",601,"상가","강원도","임대상가",32.1,1,9,"D",13979000,106000,0,4,117,75
"C1925",601,"상가","강원도","임대상가",72.16,1,9,"D",17704000,126460,0,4,117,75
"C1874",619,"상가","충청남도","임대상가",12.62,1,2,"D",3141000,98750,0,2,97,62
"C1874",619,"상가","충청남도","임대상가",17.4,1,2,"D",4789000,79980,0,2,97,62
"C1874",619,"상가","충청남도","임대상가",17.4,1,2,"D",3141000,79980,0,2,97,62
"C1874",619,"상가","충청남도","임대상가",22.89,1,2,"D",5787000,79980,0,2,97,62
"C1874",619,"상가","충청남도","임대상가",23.13,1,2,"D",3731000,69250,0,2,97,62
"C1874",619,"상가","충청남도","임대상가",23.13,1,2,"D",6873000,79980,0,2,97,62
"C1874",619,"상가","충청남도","임대상가",23.25,1,2,"D",3141000,69900,0,2,97,62
"C1874",619,"상가","충청남도","임대상가",27.75,1,2,"D",34340000,23950,0,2,97,62
"C1874",619,"상가","충청남도","임대상가",27.75,1,2,"D",10363000,130000,0,2,97,62
"C1874",619,"상가","충청남도","임대상가",27.75,1,2,"D",8050000,144820,0,2,97,62
"C1874",619,"상가","충청남도","임대상가",27.75,1,2,"D",10060000,110000,0,2,97,62
"C1874",619,"상가","충청남도","임대상가",27.75,1,2,"D",8684000,144820,0,2,97,62
"C1874",619,"상가","충청남도","임대상가",27.75,1,2,"D",7252000,110000,0,2,97,62
"C1874",619,"상가","충청남도","임대상가",27.75,1,2,"D",5787000,63280,0,2,97,62
"C1874",619,"상가","충청남도","임대상가",27.75,1,2,"D",17568000,85000,0,2,97,62
"C1874",619,"상가","충청남도","임대상가",27.75,1,2,"D",9261000,117270,0,2,97,62
"C1874",619,"상가","충청남도","임대상가",27.75,1,2,"D",4028000,117270,0,2,97,62
"C1874",619,"상가","충청남도","임대상가",27.75,1,2,"D",9401000,117270,0,2,97,62
"C1874",619,"상가","충청남도","임대상가",28.19,1,2,"D",9061000,85710,0,2,97,62
"C1874",619,"상가","충청남도","임대상가",34.8,1,2,"D",8775000,110000,0,2,97,62
"C1874",619,"상가","충청남도","임대상가",34.8,1,2,"D",4728000,85710,0,2,97,62
"C1874",619,"상가","충청남도","임대상가",42.35,1,2,"D",6873000,74510,0,2,97,62
"C1874",619,"상가","충청남도","임대상가",42.4,1,2,"D",4028000,74890,0,2,97,62
"C1874",619,"상가","충청남도","임대상가",49.37,1,2,"D",41253000,228210,0,2,97,62
"C1874",619,"상가","충청남도","임대상가",55.17,1,2,"D",21221000,124830,0,2,97,62
"C1874",619,"상가","충청남도","임대상가",55.17,1,2,"D",17477000,177040,0,2,97,62
"C1874",619,"상가","충청남도","임대상가",55.5,1,2,"D",12483000,78230,0,2,97,62
"C2416",560,"상가","경상남도","임대상가",19.69,1,0,"D",5787000,68450,0,5,154,63
"C2416",560,"상가","경상남도","임대상가",27.12,1,0,"D",8813000,144820,0,5,154,63
"C2416",560,"상가","경상남도","임대상가",32.54,1,0,"D",8848000,144820,0,5,154,63
"C2416",560,"상가","경상남도","임대상가",36.43,1,0,"D",8775000,144820,0,5,154,63
"C2416",560,"상가","경상남도","임대상가",46.89,1,0,"D",16465000,87000,0,5,154,63
"C2416",560,"상가","경상남도","임대상가",49.99,1,0,"D",24218000,2e+05,0,5,154,63
"C2416",560,"상가","경상남도","임대상가",51.14,1,0,"D",11682000,78230,0,5,154,63
"C2416",560,"상가","경상남도","임대상가",317.17,1,0,"D",142744000,1058030,0,5,154,63
"C2621",1396,"상가","대전광역시","임대상가",31.84,1,26,"D",16700000,101920,1,4,277,133
"C2621",1396,"상가","대전광역시","임대상가",31.84,1,26,"D",21768000,118320,1,4,277,133
"C2621",1396,"상가","대전광역시","임대상가",31.84,1,26,"D",7783000,149010,1,4,277,133
"C2621",1396,"상가","대전광역시","임대상가",31.84,1,26,"D",8707000,120430,1,4,277,133
"C2621",1396,"상가","대전광역시","임대상가",31.84,1,26,"D",10514000,149010,1,4,277,133
"C2621",1396,"상가","대전광역시","임대상가",31.84,1,26,"D",10514000,106000,1,4,277,133
"C2621",1396,"상가","대전광역시","임대상가",31.84,1,26,"D",10514000,141000,1,4,277,133
"C2621",1396,"상가","대전광역시","임대상가",31.84,1,26,"D",10514000,149010,1,4,277,133
"C2621",1396,"상가","대전광역시","임대상가",63.68,1,26,"D",6.3e+07,512110,1,4,277,133
"C2621",1396,"상가","대전광역시","임대상가",137.49,1,26,"D",44868000,620000,1,4,277,133
"C1616",1507,"상가","대전광역시","임대상가",38,1,1,"D",5787000,84510,0,2,407,98
"C1616",1507,"상가","대전광역시","임대상가",38,1,1,"D",81223800,39620,0,2,407,98
"C1616",1507,"상가","대전광역시","임대상가",37.26,1,1,"D",5787000,74510,0,2,407,98
"C1616",1507,"상가","대전광역시","임대상가",37.41,1,1,"D",30120000,215550,0,2,407,98
"C1616",1507,"상가","대전광역시","임대상가",37.41,1,1,"D",38400000,199200,0,2,407,98
"C1616",1507,"상가","대전광역시","임대상가",37.41,1,1,"D",3138000,74510,0,2,407,98
"C1616",1507,"상가","대전광역시","임대상가",37.49,1,1,"D",15395000,87000,0,2,407,98
"C1616",1507,"상가","대전광역시","임대상가",37.95,1,1,"D",71616000,47600,0,2,407,98
"C1616",1507,"상가","대전광역시","임대상가",37.95,1,1,"D",15418000,101920,0,2,407,98
"C1616",1507,"상가","대전광역시","임대상가",38.04,1,1,"D",34340000,211320,0,2,407,98
"C1616",1507,"상가","대전광역시","임대상가",39.33,1,1,"D",15395000,45180,0,2,407,98
"C1616",1507,"상가","대전광역시","임대상가",39.33,1,1,"D",5787000,84510,0,2,407,98
"C1616",1507,"상가","대전광역시","임대상가",39.33,1,1,"D",3631000,84510,0,2,407,98
"C1616",1507,"상가","대전광역시","임대상가",54.51,1,1,"D",12483000,187150,0,2,407,98
"C1616",1507,"상가","대전광역시","임대상가",54.61,1,1,"D",15418000,204850,0,2,407,98
"C1616",1507,"상가","대전광역시","임대상가",54.91,1,1,"D",23139000,380000,0,2,407,98
"C1616",1507,"상가","대전광역시","임대상가",75.98,1,1,"D",145264000,363840,0,2,407,98
"C1616",1507,"상가","대전광역시","임대상가",109.11,1,1,"D",115052000,1042230,0,2,407,98
"C1616",1507,"상가","대전광역시","임대상가",583.4,1,1,"D",99261000,945230,0,2,407,98
"C1704",639,"상가","대전광역시","임대상가",31.84,1,34,"D",7200000,136630,0,7,162,131
"C1704",639,"상가","대전광역시","임대상가",31.84,1,34,"D",7783000,122000,0,7,162,131
"C1704",639,"상가","대전광역시","임대상가",31.84,1,34,"D",7200000,153020,0,7,162,131
"C1704",639,"상가","대전광역시","임대상가",31.84,1,34,"D",16700000,101920,0,7,162,131
"C1704",639,"상가","대전광역시","임대상가",31.84,1,34,"D",7783000,136630,0,7,162,131
"C1704",639,"상가","대전광역시","임대상가",31.84,1,34,"D",10514000,145290,0,7,162,131
"C1704",639,"상가","대전광역시","임대상가",31.84,1,34,"D",8625000,145290,0,7,162,131
"C1704",639,"상가","대전광역시","임대상가",31.84,1,34,"D",20976000,110500,0,7,162,131
"C1704",639,"상가","대전광역시","임대상가",31.84,1,34,"D",7783000,122000,0,7,162,131
"C1704",639,"상가","대전광역시","임대상가",31.84,1,34,"D",8625000,149010,0,7,162,131
"C1704",639,"상가","대전광역시","임대상가",31.84,1,34,"D",13022000,141000,0,7,162,131
"C1704",639,"상가","대전광역시","임대상가",31.84,1,34,"D",14264000,122000,0,7,162,131
"C1704",639,"상가","대전광역시","임대상가",31.84,1,34,"D",20976000,131770,0,7,162,131
"C1704",639,"상가","대전광역시","임대상가",31.84,1,34,"D",7200000,145290,0,7,162,131
"C1704",639,"상가","대전광역시","임대상가",126.65,1,34,"D",44868000,620000,0,7,162,131
"C2258",965,"상가","대전광역시","임대상가",19,1,13,"D",4789000,79980,0,3,287,78
"C2258",965,"상가","대전광역시","임대상가",14.1,1,13,"D",3731000,133240,0,3,287,78
"C2258",965,"상가","대전광역시","임대상가",19.31,1,13,"D",3141000,79980,0,3,287,78
"C2258",965,"상가","대전광역시","임대상가",21.19,1,13,"D",9714000,79800,0,3,287,78
"C2258",965,"상가","대전광역시","임대상가",21.19,1,13,"D",3141000,79980,0,3,287,78
"C2258",965,"상가","대전광역시","임대상가",22.95,1,13,"D",7204000,79980,0,3,287,78
"C2258",965,"상가","대전광역시","임대상가",23.4,1,13,"D",3631000,74860,0,3,287,78
"C2258",965,"상가","대전광역시","임대상가",23.4,1,13,"D",5787000,67260,0,3,287,78
"C2258",965,"상가","대전광역시","임대상가",23.4,1,13,"D",4028000,69900,0,3,287,78
"C2258",965,"상가","대전광역시","임대상가",23.4,1,13,"D",3731000,79980,0,3,287,78
"C2258",965,"상가","대전광역시","임대상가",27.23,1,13,"D",10244000,136630,0,3,287,78
"C2258",965,"상가","대전광역시","임대상가",31.85,1,13,"D",5914000,153020,0,3,287,78
"C2258",965,"상가","대전광역시","임대상가",32.29,1,13,"D",9174000,136630,0,3,287,78
"C2258",965,"상가","대전광역시","임대상가",35.13,1,13,"D",9363000,89520,0,3,287,78
"C2258",965,"상가","대전광역시","임대상가",36.47,1,13,"D",3631000,96110,0,3,287,78
"C2258",965,"상가","대전광역시","임대상가",50.08,1,13,"D",22793000,207000,0,3,287,78
"C2258",965,"상가","대전광역시","임대상가",240.22,1,13,"D",6.5e+07,597820,0,3,287,78
"C2038",785,"상가","대전광역시","임대상가",19,1,7,"D",3731000,69820,1,10,150,108
"C2038",785,"상가","대전광역시","임대상가",14.1,1,7,"D",5787000,69900,1,10,150,108
"C2038",785,"상가","대전광역시","임대상가",19.31,1,7,"D",5787000,68420,1,10,150,108
"C2038",785,"상가","대전광역시","임대상가",21.19,1,7,"D",4032000,69900,1,10,150,108
