,단지코드,총세대수,임대건물구분,지역,공급유형,전용면적,전용면적별세대수,공가수,자격유형,임대보증금,임대료,지하철역수,버스정류장수,단지내주차면수,등록차량수
0,C2483,900,아파트,경상북도,국민임대,39.72,134,38,A,15667000.0,103680.0,0.0,3,1425,1015
1,C2483,900,아파트,경상북도,국민임대,39.72,15,38,A,15667000.0,103680.0,0.0,3,1425,1015
2,C2483,900,아파트,경상북도,국민임대,51.93,385,38,A,27304000.0,184330.0,0.0,3,1425,1015
3,C2483,900,아파트,경상북도,국민임대,51.93,15,38,A,27304000.0,184330.0,0.0,3,1425,1015
4,C2483,900,아파트,경상북도,국민임대,51.93,41,38,A,27304000.0,184330.0,0.0,3,1425,1015
5,C2483,900,아파트,경상북도,국민임대,51.95,89,38,A,27304000.0,184330.0,0.0,3,1425,1015
6,C2483,900,아파트,경상북도,국민임대,51.95,135,38,A,27304000.0,184330.0,0.0,3,1425,1015
7,C2483,900,아파트,경상북도,국민임대,59.88,86,38,A,30357000.0,214270.0,0.0,3,1425,1015
8,C2515,545,아파트,경상남도,국민임대,33.48,276,17,A,9216000.0,82940.0,0.0,3,624,205
9,C2515,545,아파트,경상남도,국민임대,39.6,60,17,A,12672000.0,107130.0,0.0,3,624,205
10,C2515,545,아파트,경상남도,국민임대,39.6,20,17,A,12672000.0,107130.0,0.0,3,624,205
11,C2515,545,아파트,경상남도,국민임대,46.9,38,17,A,18433000.0,149760.0,0.0,3,624,205
12,C2515,545,아파트,경상남도,국민임대,46.9,19,17,A,18433000.0,149760.0,0.0,3,624,205
13,C2515,545,아파트,경상남도,국민임대,51.97,106,17,A,23042000.0,190090.0,0.0,3,624,205
14,C2515,545,아파트,경상남도,국민임대,51.97,26,17,A,23042000.0,190090.0,0.0,3,624,205
15,C1407,1216,아파트,대전광역시,국민임대,30.95,288,13,A,15620000.0,127350.0,1.0,1,1285,1064
16,C1407,1216,아파트,대전광역시,국민임대,30.99,68,13,A,15620000.0,127350.0,1.0,1,1285,1064
17,C1407,1216,아파트,대전광역시,국민임대,30.99,34,13,A,15620000.0,127350.0,1.0,1,1285,1064
18,C1407,1216,아파트,대전광역시,국민임대,41.11,148,13,A,27637000.0,164610.0,1.0,1,1285,1064
19,C1407,1216,아파트,대전광역시,국민임대,41.39,74,13,A,27637000.0,164610.0,1.0,1,1285,1064
20,C1407,1216,아파트,대전광역시,국민임대,41.58,70,13,A,27637000.0,164610.0,1.0,1,1285,1064
21,C1407,1216,아파트,대전광역시,국민임대,41.58,70,13,A,27637000.0,164610.0,1.0,1,1285,1064
22,C1407,1216,아파트,대전광역시,국민임대,46.36,170,13,A,36048000.0,198250.0,1.0,1,1285,1064
23,C1407,1216,아파트,대전광역시,국민임대,46.36,170,13,A,36048000.0,198250.0,1.0,1,1285,1064
