단지코드,총세대수,임대건물구분,지역,공급유형,전용면적,전용면적별세대수,공가수,자격유형,임대보증금,임대료,지하철역수,버스정류장수,단지내주차면수,등록차량수
C2515,545,아파트,경상남도,국민임대,33.48,276,17,A,9216000.0,82940.0,0.0,3,624,205
C2515,545,아파트,경상남도,국민임대,39.6,60,17,A,12672000.0,107130.0,0.0,3,624,205
C2515,545,아파트,경상남도,국민임대,39.6,20,17,A,12672000.0,107130.0,0.0,3,624,205
C2515,545,아파트,경상남도,국민임대,46.9,38,17,A,18433000.0,149760.0,0.0,3,624,205
C2515,545,아파트,경상남도,국민임대,46.9,19,17,A,18433000.0,149760.0,0.0,3,624,205
C2515,545,아파트,경상남도,국민임대,51.97,106,17,A,23042000.0,190090.0,0.0,3,624,205
C2515,545,아파트,경상남도,국민임대,51.97,26,17,A,23042000.0,190090.0,0.0,3,624,205
C1407,1216,아파트,대전광역시,국민임대,30.95,288,13,A,15620000.0,127350.0,1.0,1,1285,1064
C1407,1216,아파트,대전광역시,국민임대,30.99,68,13,A,15620000.0,127350.0,1.0,1,1285,1064
C1407,1216,아파트,대전광역시,국민임대,30.99,34,13,A,15620000.0,127350.0,1.0,1,1285,1064
C1407,1216,아파트,대전광역시,국민임대,41.11,148,13,A,27637000.0,164610.0,1.0,1,1285,1064
C1407,1216,아파트,대전광역시,국민임대,41.39,74,13,A,27637000.0,164610.0,1.0,1,1285,1064
C1407,1216,아파트,대전광역시,국민임대,41.58,70,13,A,27637000.0,164610.0,1.0,1,1285,1064
C1407,1216,아파트,대전광역시,국민임대,41.58,70,13,A,27637000.0,164610.0,1.0,1,1285,1064
C1407,1216,아파트,대전광역시,국민임대,46.36,170,13,A,36048000.0,198250.0,1.0,1,1285,1064
C1407,1216,아파트,대전광역시,국민임대,46.36,170,13,A,36048000.0,198250.0,1.0,1,1285,1064
C1407,1216,아파트,대전광역시,국민임대,51.24,62,13,A,42056000.0,253520.0,1.0,1,1285,1064
C1407,1216,아파트,대전광역시,국민임대,51.24,62,13,A,42056000.0,253520.0,1.0,1,1285,1064
C1945,755,아파트,경기도,국민임대,39.72,120,6,B,15607000.0,130070.0,1.0,3,734,730
C1945,755,아파트,경기도,국민임대,39.72,120,6,B,15607000.0,130070.0,1.0,3,734,730
C1945,755,아파트,경기도,국민임대,51.93,207,6,B,23139000.0,193230.0,1.0,3,734,730
C1945,755,아파트,경기도,국민임대,51.93,96,6,B,23139000.0,193230.0,1.0,3,734,730
C1945,755,아파트,경기도,국민임대,59.88,160,6,B,29209000.0,244020.0,1.0,3,734,730
C1945,755,아파트,경기도,국민임대,59.88,52,6,B,29209000.0,244020.0,1.0,3,734,730
C1470,696,아파트,전라북도,국민임대,36.55,228,14,A,12015000.0,102130.0,0.0,2,645,553
C1470,696,아파트,전라북도,국민임대,36.55,26,14,A,12015000.0,102130.0,0.0,2,645,553
C1470,696,아파트,전라북도,국민임대,46.9,196,14,A,21628000.0,132160.0,0.0,2,645,553
C1470,696,아파트,전라북도,국민임대,51.93,246,14,A,25233000.0,144180.0,0.0,2,645,553
C1898,566,아파트,전라북도,국민임대,36.55,230,9,A,12015000.0,102130.0,0.0,6,517,415
