,단지코드,등록차량수,총세대수,지역,공가수,지하철,버스,단지내주차면수,총임대가구수,면적_15,면적_20,면적_30,면적_40,면적_50,면적_60,면적_70,면적_80,면적_100,임대보증금,임대료,공급유형_공공임대(50년),공급유형_공공임대(5년/10년/분납/분양),공급유형_국민임대/장기전세,공급유형_영구임대,공급유형_임대상가,공급유형_행복주택,자격유형_A,자격유형_D,자격유형_국민임대/장기전세_공급대상,자격유형_영구임대_공급대상,자격유형_행복주택_공급대상,20대(여자),20대(남자),40대(여자),40대(남자),50대(여자),50대(남자),u10,p30,o60
0,C2515,205.0,545.0,경상남도,17.0,0.0,3.0,624.0,545.0,0.0,0.0,0.653211009174312,0.10458715596330276,0.24220183486238533,0.0,0.0,0.0,0.0,18433000.0,149760.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0649203187250996,0.07061752988047809,0.07709163346613546,0.06759960159362549,0.08687250996015937,0.07256972111553785,0.16312749003984064,0.11396414342629482,0.2832370517928287
1,C1407,1064.0,1216.0,대전광역시,13.0,1.0,1.0,1285.0,1216.0,0.0,0.0,0.3207236842105263,0.5773026315789473,0.10197368421052631,0.0,0.0,0.0,0.0,27637000.0,164610.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06083398220705422,0.06424678186246087,0.07466741770348402,0.06792465333576315,0.08575073308924637,0.06881927072116101,0.14057089842779277,0.13550139991053825,0.3016848627424993
2,C1945,730.0,755.0,경기도,6.0,1.0,3.0,734.0,755.0,0.0,0.0,0.31788079470198677,0.0,0.6821192052980133,0.0,0.0,0.0,0.0,23139000.0,193230.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.05848376948692058,0.059894047666884,0.0832077088294043,0.07835469273953018,0.07734494393236886,0.06485853795113024,0.18407241156272564,0.1410355952657169,0.25274829256531933
3,C1470,553.0,696.0,전라북도,14.0,0.0,2.0,645.0,696.0,0.0,0.0,0.3649425287356322,0.28160919540229884,0.35344827586206895,0.0,0.0,0.0,0.0,16821500.0,117145.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06626243986027812,0.07032228300270217,0.07700520661701707,0.06664469781849337,0.08140776379094444,0.07438212614512621,0.17691952810914124,0.0986225532195347,0.28843340143676266
4,C1898,415.0,566.0,전라북도,9.0,0.0,6.0,517.0,566.0,0.0,0.0,0.4787985865724382,0.36925795053003535,0.1519434628975265,0.0,0.0,0.0,0.0,16821500.0,117145.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06626243986027812,0.07032228300270217,0.07700520661701707,0.06664469781849337,0.08140776379094444,0.07438212614512621,0.17691952810914124,0.0986225532195347,0.28843340143676266
5,C1244,1804.0,1722.0,경기도,10.0,0.0,10.0,1483.0,1722.0,0.0,0.0,0.45760743321718933,0.3159117305458769,0.2264808362369338,0.0,0.0,0.0,0.0,43990000.0,304540.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.05848376948692058,0.059894047666884,0.0832077088294043,0.07835469273953018,0.07734494393236886,0.06485853795113024,0.18407241156272564,0.1410355952657169,0.25274829256531933
6,C1171,700.0,624.0,대전광역시,13.0,0.0,5.0,634.0,624.0,0.0,0.0,0.5673076923076923,0.3685897435897436,0.0641025641025641,0.0,0.0,0.0,0.0,35462000.0,189130.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06083398220705422,0.06424678186246087,0.07466741770348402,0.06792465333576315,0.08575073308924637,0.06881927072116101,0.14057089842779277,0.13550139991053825,0.3016848627424993
7,C2073,301.0,361.0,강원도,13.0,0.0,5.0,288.0,361.0,0.0,0.0,0.46537396121883656,0.42382271468144045,0.11080332409972299,0.0,0.0,0.0,0.0,16821000.0,205460.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06037387878279823,0.06315701232291056,0.07620085505909968,0.06800234722105793,0.0872663257607511,0.07217704753122642,0.16356777600804762,0.11414200687400453,0.29511275044010393
8,C2513,820.0,754.0,광주광역시,15.0,0.0,6.0,530.0,754.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,32443000.0,192250.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06508442942355952,0.06687516551698047,0.08002824823133284,0.07918332345485958,0.07990214005573981,0.06744265230714908,0.16666456486374012,0.1313038324274563,0.26351564371918235
9,C1936,234.0,240.0,광주광역시,8.0,0.0,10.0,168.0,240.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,32443000.0,192250.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06508442942355952,0.06687516551698047,0.08002824823133284,0.07918332345485958,0.07990214005573981,0.06744265230714908,0.16666456486374012,0.1313038324274563,0.26351564371918235
10,C2049,841.0,688.0,강원도,0.0,0.0,5.0,631.0,688.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15407000.0,88400.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06037387878279823,0.06315701232291056,0.07620085505909968,0.06800234722105793,0.0872663257607511,0.07217704753122642,0.16356777600804762,0.11414200687400453,0.29511275044010393
11,C2202,226.0,623.0,강원도,0.0,0.0,2.0,222.0,623.0,0.0,0.0,0.14285714285714285,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,10244000.0,152280.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06037387878279823,0.06315701232291056,0.07620085505909968,0.06800234722105793,0.0872663257607511,0.07217704753122642,0.16356777600804762,0.11414200687400453,0.29511275044010393
12,C1925,75.0,601.0,강원도,9.0,0.0,4.0,117.0,600.0,0.0,0.49584026622296173,0.5008319467554077,0.0,0.0,0.0,0.0016638935108153079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.06037387878279823,0.06315701232291056,0.07620085505909968,0.06800234722105793,0.0872663257607511,0.07217704753122642,0.16356777600804762,0.11414200687400453,0.29511275044010393
13,C2576,73.0,405.0,경상남도,19.0,0.0,4.0,296.0,405.0,0.0,0.0,0.0,0.7728395061728395,0.2271604938271605,0.0,0.0,0.0,0.0,23844000.0,198600.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0649203187250996,0.07061752988047809,0.07709163346613546,0.06759960159362549,0.08687250996015937,0.07256972111553785,0.16312749003984064,0.11396414342629482,0.2832370517928287
14,C1312,359.0,518.0,충청남도,12.0,0.0,3.0,527.0,517.0,0.0,0.0,0.2876447876447876,0.7104247104247104,0.0,0.0,0.0,0.0,0.0,18707000.0,126575.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06797460891978227,0.07262232824689124,0.07886041760923511,0.0734175132645087,0.07929914037757578,0.06916738644620847,0.1845788946928255,0.13239830543330727,0.2416814050096656
15,C1874,62.0,619.0,충청남도,2.0,0.0,2.0,97.0,619.0,0.004846526655896607,0.7415185783521809,0.24394184168012925,0.004846526655896607,0.004846526655896607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.06797460891978227,0.07262232824689124,0.07886041760923511,0.0734175132645087,0.07929914037757578,0.06916738644620847,0.1845788946928255,0.13239830543330727,0.2416814050096656
16,C2650,159.0,875.0,부산광역시,13.0,0.0,4.0,616.0,875.0,0.0,0.0,0.6365714285714286,0.36342857142857143,0.0,0.0,0.0,0.0,0.0,14215000.0,141630.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.05379630933934357,0.05723341315678265,0.06195238766023384,0.06076912241160728,0.08289899985913507,0.06885476827722213,0.11314269615438793,0.09591491759402733,0.40543738554726017
17,C2416,63.0,560.0,경상남도,0.0,0.0,5.0,154.0,560.0,0.0017857142857142857,0.6446428571428572,0.3464285714285714,0.0035714285714285713,0.0017857142857142857,0.0,0.0,0.0,0.0017857142857142857,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0649203187250996,0.07061752988047809,0.07709163346613546,0.06759960159362549,0.08687250996015937,0.07256972111553785,0.16312749003984064,0.11396414342629482,0.2832370517928287
18,C2013,91.0,595.0,경상남도,3.0,0.0,3.0,509.0,594.0,0.0,0.0,0.5495798319327732,0.44873949579831934,0.0,0.0,0.0,0.0,0.0,13930000.0,37360.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0649203187250996,0.07061752988047809,0.07709163346613546,0.06759960159362549,0.08687250996015937,0.07256972111553785,0.16312749003984064,0.11396414342629482,0.2832370517928287
19,C1424,179.0,625.0,대전광역시,2.0,0.0,7.0,517.0,624.0,0.0,0.0,0.4288,0.5696,0.0,0.0,0.0,0.0,0.0,20173000.0,225100.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06083398220705422,0.06424678186246087,0.07466741770348402,0.06792465333576315,0.08575073308924637,0.06881927072116101,0.14057089842779277,0.13550139991053825,0.3016848627424993
20,C2100,671.0,880.0,대전광역시,4.0,0.0,5.0,736.0,880.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,25096000.0,100365.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06083398220705422,0.06424678186246087,0.07466741770348402,0.06792465333576315,0.08575073308924637,0.06881927072116101,0.14057089842779277,0.13550139991053825,0.3016848627424993
21,C2621,133.0,1396.0,대전광역시,26.0,1.0,4.0,277.0,1396.0,0.0,0.7671919770773639,0.2191977077363897,0.0,0.012177650429799427,0.0007163323782234957,0.0,0.0,0.0007163323782234957,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.06083398220705422,0.06424678186246087,0.07466741770348402,0.06792465333576315,0.08575073308924637,0.06881927072116101,0.14057089842779277,0.13550139991053825,0.3016848627424993
22,C2520,386.0,970.0,대전광역시,2.0,0.0,2.0,420.0,960.0,0.0,0.0,0.9896907216494846,0.0,0.0,0.0,0.0,0.0,0.0,13155000.0,177500.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06083398220705422,0.06424678186246087,0.07466741770348402,0.06792465333576315,0.08575073308924637,0.06881927072116101,0.14057089842779277,0.13550139991053825,0.3016848627424993
23,C2319,266.0,606.0,대전광역시,1.0,1.0,12.0,548.0,605.0,0.0,0.0,0.0,0.0,0.9983498349834984,0.0,0.0,0.0,0.0,17414000.0,236590.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06083398220705422,0.06424678186246087,0.07466741770348402,0.06792465333576315,0.08575073308924637,0.06881927072116101,0.14057089842779277,0.13550139991053825,0.3016848627424993
24,C1616,98.0,1507.0,대전광역시,1.0,0.0,2.0,407.0,1507.0,0.0,0.39017916390179164,0.30723291307232914,0.298606502986065,0.0019907100199071004,0.0,0.0006635700066357001,0.0,0.0013271400132714001,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.06083398220705422,0.06424678186246087,0.07466741770348402,0.06792465333576315,0.08575073308924637,0.06881927072116101,0.14057089842779277,0.13550139991053825,0.3016848627424993
