code,tot_pop,region,num_empty,sub,bus,num_park,type_new,prop_type_im1,prop_type_im2,prop_type_im3,prop_type_im4,prop_type_im5,prop_type_im6,prop_type_im7,prop_type_im8,prop_type_im9,prop_type_im10,prop_type_qual1,prop_type_qual2,prop_type_qual3,prop_type_qual4,prop_type_qual5,prop_type_qual6,prop_type_qual7,prop_type_qual8,prop_type_qual9,prop_type_qual10,prop_type_qual11,prop_type_qual12,prop_type_qual13,prop_type_qual14,prop_areaL21,prop_areaL29,prop_areaL36,prop_areaL39,prop_areaL46,prop_areaL59,prop_areaU59,M_fee_deposit,M_fee_rent,target
C1000,566,16,10,0,1,438,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.428571429,0.28571428600000004,0.28571428600000004,0.0,14404000.0,129640,481
C1004,521,15,3,0,2,153,1,0.0,0.0,0.0,0,0.0,0.0,0.10526315800000001,0.894736842,0.0,0.0,0.0,0,0.10526315800000001,0.894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.526315789,0.052631579000000005,0.15789473699999998,0.15789473699999998,0.0,0.052631579000000005,0.052631579000000005,19000000.0,119860,93
C1004,521,15,3,0,2,153,1,0.0,0.0,0.0,0,0.0,0.0,0.10526315800000001,0.894736842,0.0,0.0,0.0,0,0.10526315800000001,0.894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.526315789,0.052631579000000005,0.15789473699999998,0.15789473699999998,0.0,0.052631579000000005,0.052631579000000005,19000000.0,119860,93
C1005,1144,15,16,0,8,950,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16348000.0,210900,376
C1013,1308,5,16,0,6,1119,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.2,0.0,24665000.0,135960,1665
C1014,996,13,5,0,2,823,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714300000002,0.0,0.428571429,0.428571429,0.0,21628000.0,150190,708
C1015,961,8,28,0,3,928,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.375,0.25,0.0,15583000.0,140810,579
C1017,1460,7,27,0,2,1534,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333,0.0,0.333333333,0.333333333,0.0,0.0,15198000.0,227970,1246
C1022,389,2,4,0,4,352,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24665000.0,221980,450
C1024,680,9,2,0,3,877,0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.9,107156500.0,1002190,957
