단지코드,등록차량수,총세대수,지역,공가수,지하철,버스,단지내주차면수,총임대가구수,단지임대보증금,단지임대료,면적_15,면적_20,면적_30,면적_40,면적_50,면적_60,면적_70,면적_80,면적_100,자격_A,자격_B,자격_C,자격_D,자격_E,자격_F,자격_G,자격_H,자격_I,자격_J,자격_K,자격_L,자격_M,자격_N,자격_O,공급_공공분양,공급_공공임대(10년),공급_공공임대(50년),공급_공공임대(5년),공급_공공임대(분납),공급_국민임대,공급_영구임대,공급_임대상가,공급_장기전세,공급_행복주택
C2515,205.0,545.0,2,17.0,0.0,3.0,624.0,545.0,14035965.137614679,119431.26605504587,0.0,0.0,0.653211009174312,0.10458715596330276,0.24220183486238533,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
C1407,1064.0,1216.0,6,13.0,1.0,1.0,1285.0,1216.0,27604981.907894738,171132.23684210525,0.0,0.0,0.3207236842105263,0.5773026315789473,0.10197368421052631,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
C1945,730.0,755.0,1,6.0,1.0,3.0,734.0,755.0,22449145.695364237,187414.2119205298,0.0,0.0,0.31788079470198677,0.0,0.6821192052980133,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
C1470,553.0,696.0,12,14.0,0.0,2.0,645.0,696.0,19393988.50574713,125449.22413793103,0.0,0.0,0.3649425287356322,0.28160919540229884,0.35344827586206895,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
C1898,415.0,566.0,12,9.0,0.0,6.0,517.0,566.0,17573065.371024735,119608.03886925794,0.0,0.0,0.4787985865724382,0.36925795053003535,0.1519434628975265,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
C1244,1804.0,1722.0,1,10.0,0.0,10.0,1483.0,1722.0,38710689.89547038,265752.38095238095,0.0,0.0,0.45760743321718933,0.3159117305458769,0.2264808362369338,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
C1171,700.0,624.0,6,13.0,0.0,5.0,634.0,624.0,27334878.205128204,158131.66666666666,0.0,0.0,0.5673076923076923,0.3685897435897436,0.0641025641025641,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
C2073,301.0,361.0,0,13.0,0.0,5.0,288.0,361.0,14957110.8033241,185595.62326869805,0.0,0.0,0.46537396121883656,0.42382271468144045,0.11080332409972299,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
C2513,820.0,754.0,4,15.0,0.0,6.0,530.0,754.0,32443000.0,192250.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
C1936,234.0,240.0,4,8.0,0.0,10.0,168.0,240.0,32443000.0,192250.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
C2049,841.0,688.0,0,0.0,0.0,5.0,631.0,688.0,15868906.976744186,88354.56395348837,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
C2202,226.0,623.0,0,0.0,0.0,2.0,222.0,623.0,10619874.799357945,156849.40609951847,0.0,0.0,0.14285714285714285,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1925,75.0,601.0,0,9.0,0.0,4.0,117.0,600.0,8541344.42595674,136509.7836938436,0.0,0.49584026622296173,0.5008319467554077,0.0,0.0,0.0,0.0016638935108153079,0.0,0.0,0.0,0.0,0.9916805324459235,0.0066555740432612314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9916805324459235,0.0066555740432612314,0.0,0.0
C2576,73.0,405.0,2,19.0,0.0,4.0,296.0,405.0,21438646.913580246,178508.0987654321,0.0,0.0,0.0,0.7728395061728395,0.2271604938271605,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
C1312,359.0,518.0,14,12.0,0.0,3.0,527.0,517.0,21608940.154440153,133343.95752895752,0.0,0.0,0.2876447876447876,0.7104247104247104,0.0,0.0,0.0,0.0,0.0,0.9980694980694981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9980694980694981,0.0,0.0,0.0,0.0
C1874,62.0,619.0,14,2.0,0.0,2.0,97.0,619.0,3146012.9240710824,70009.17609046849,0.004846526655896607,0.7415185783521809,0.24394184168012925,0.004846526655896607,0.004846526655896607,0.0,0.0,0.0,0.0,0.0,0.0,0.9563812600969306,0.04361873990306947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9563812600969306,0.04361873990306947,0.0,0.0
C2650,159.0,875.0,7,13.0,0.0,4.0,616.0,875.0,12507840.0,118267.82857142857,0.0,0.0,0.6365714285714286,0.36342857142857143,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
C2416,63.0,560.0,2,0.0,0.0,5.0,154.0,560.0,3262200.0,72587.14285714286,0.0017857142857142857,0.6446428571428572,0.3464285714285714,0.0035714285714285713,0.0017857142857142857,0.0,0.0,0.0,0.0017857142857142857,0.0,0.0,0.9857142857142858,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9857142857142858,0.014285714285714285,0.0,0.0
C2013,91.0,595.0,2,3.0,0.0,3.0,509.0,594.0,15539102.521008404,40806.35294117647,0.0,0.0,0.5495798319327732,0.44873949579831934,0.0,0.0,0.0,0.0,0.0,0.9983193277310924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9983193277310924,0.0,0.0,0.0,0.0
C1424,179.0,625.0,6,2.0,0.0,7.0,517.0,624.0,17990230.4,213539.584,0.0,0.0,0.4288,0.5696,0.0,0.0,0.0,0.0,0.0,0.9984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9984,0.0,0.0,0.0,0.0,0.0,0.0,0.0
