code,num
C1072,775.4
C1128,1139.22
C1456,522.35
C1840,512.26
C1332,1085.35
C1563,1551.74
C1794,863.77
C1640,501.7
C1377,363.3
C2072,244.45
C1472,450.47
C1006,225.12
C1083,462.23
C1311,274.49
C2676,206.51
C2318,255.82
C1603,484.92
C2523,305.0
C2177,203.48
C2411,612.9
C2033,175.15
C1604,515.99
C2535,515.78
C1040,510.43
C2417,454.84
C1812,130.72
C2253,141.09
C1294,604.39
C1772,545.71
C2646,567.48
C1152,943.4
C2423,157.54
C1844,476.85
C1318,264.52
C1729,93.45
C1602,292.63
C1239,419.19
C1721,642.39
C1902,831.25
C1855,311.06
C2600,413.88
C1071,506.42
C2295,448.37
C1621,569.66
C1852,803.94
C2555,1212.9
C1297,456.59
C2323,632.62
C2215,386.33
C2112,382.38
C1830,783.03
C2602,270.72
C2608,1167.22
C1215,659.29
C2369,646.07
C1158,301.53
C1887,560.45
C1189,236.93
C1637,464.54
C1225,133.09
C2374,367.49
C2397,556.97
C1105,910.07
C1782,458.64
C1629,114.87
C1708,288.62
C2144,473.73
C1617,1025.89
C1149,631.11
C1323,481.91
C1064,638.58
C1019,292.83
C2269,639.38
C1416,807.04
C1250,908.37
C1741,487.25
C1016,707.73
C2675,966.92
C2436,661.73
C2039,723.74
C1253,689.56
C2028,1136.44
C1166,303.15
C1135,277.07
C1216,330.37
C1593,254.38
C1826,249.44
C1827,408.65
C1564,277.25
C1495,970.42
C2653,895.89
C1392,577.99
C2128,310.07
C1282,494.51
C1521,972.58
C2076,956.13
C1060,614.84
C2473,1056.24
C2557,856.23
C1835,800.07
C2224,913.08
C2222,382.55
C2430,804.41
C2497,648.42
C1494,1041.15
C1457,606.74
C1525,1178.44
C1712,644.73
C2267,975.4
C1623,285.51
C2131,551.37
C2691,1156.83
C1147,792.41
C1692,914.05
C1570,808.67
C1474,106.53
C1633,165.28
C2113,588.53
C2175,876.93
C2303,1391.2
C2547,595.46
C2292,781.65
C1496,681.29
C1289,398.24
C1849,677.89
C1003,277.37
C2268,472.02
C2551,637.26
C2688,71.39
C1030,49.73
C1327,96.99
C2451,562.71
C1749,572.99
C1349,276.48
C2043,235.15
C1229,271.38
C2363,407.8
C1414,521.49
C2174,490.44
C2091,126.96
C2335,626.45
C1841,79.43
C2404,111.01
C1683,251.09
C1038,283.35
C2456,281.62
C1266,534.46
C2152,38.58
C1267,475.06
C2189,236.79
