code,num
C1072,584.2597
C1128,1187.3556
C1456,421.15424
C1840,465.7637
C1332,1013.2696
C1563,1924.3348
C1794,1081.7343
C1640,371.8219
C1377,464.95435
C2072,240.10056
C1472,434.71814
C1006,589.81635
C1083,321.14725
C1311,73.42284
C2676,598.85443
C2318,76.32414
C1603,421.1872
C2523,184.24658
C2177,76.51354
C2411,943.76965
C2033,381.89658
C1604,388.79883
C2535,471.6095
C1040,568.4901
C2417,351.69263
C1812,187.63832
C2253,-26.466255
C1294,703.9245
C1772,450.71405
C2646,489.28876
C1152,939.8516
C2423,73.98914
C1844,393.80045
C1318,-36.174072
C1729,-24.257523
C1602,253.49066
C1239,440.00833
C1721,538.0461
C1902,870.6406
C1855,319.1505
C2600,428.88287
C1071,417.80508
C2295,461.2639
C1621,370.0319
C1852,698.90045
C2555,1318.3606
C1297,420.25833
C2323,580.82086
C2215,456.5523
C2112,385.88452
C1830,774.0268
C2602,243.44463
C2608,1129.5858
C1215,623.51086
C2369,413.28976
C1158,170.24855
C1887,550.96545
C1189,204.78345
C1637,412.21753
C1225,55.34736
C2374,384.50226
C2397,392.85202
C1105,892.56036
C1782,329.27438
C1629,61.241898
C1708,226.30577
C2144,538.4911
C1617,998.37463
C1149,479.19962
C1323,332.37158
C1064,902.6055
C1019,198.20798
C2269,437.35544
C1416,766.8817
C1250,947.63525
C1741,265.40707
C1016,547.88696
C2675,864.59845
C2436,634.9893
C2039,940.33246
C1253,839.43726
C2028,1164.8315
C1166,261.41708
C1135,130.54137
C1216,205.75945
C1593,173.53656
C1826,269.49454
C1827,501.15768
C1564,147.536
C1495,1007.5113
C2653,814.0505
C1392,745.14435
C2128,135.73712
C1282,656.81116
C1521,1158.0105
C2076,1325.2361
C1060,448.28723
C2473,1189.4849
C2557,715.0766
C1835,1057.1334
C2224,781.41675
C2222,406.04584
C2430,533.8629
C2497,455.1379
C1494,585.7572
C1457,669.22955
C1525,1271.7998
C1712,814.8128
C2267,1023.71234
C1623,198.97989
C2131,279.2336
C2691,876.1094
C1147,979.8077
C1692,1182.5298
C1570,817.2227
C1474,81.639084
C1633,158.86084
C2113,780.5021
C2175,367.8973
C2303,1071.6432
C2547,558.01776
C2292,931.63196
C1496,473.0567
C1289,488.19696
C1849,847.9641
C1003,274.0773
C2268,592.7764
C2551,613.135
C2688,98.4207
C1030,-67.9161
C1327,-5.537372
C2451,295.62628
C1749,623.4454
C1349,282.24072
C2043,223.28818
C1229,212.46057
C2363,493.65005
C1414,479.53513
C2174,602.9076
C2091,113.93769
C2335,427.41135
C1841,3.7471423
C2404,16.149246
C1683,139.85748
C1038,495.30545
C2456,264.61642
C1266,616.458
C2152,-102.6579
C1267,538.7156
C2189,435.01627
