code,num
C1072,768.04
C1128,1225.07
C1456,484.41
C1840,512.51
C1332,1123.06
C1563,1616.8
C1794,934.46
C1640,486.75
C1377,372.06
C2072,261.09
C1472,481.79
C1006,292.58
C1083,411.25
C1311,224.89
C2676,274.82
C2318,205.68
C1603,415.42
C2523,298.0
C2177,195.1
C2411,624.99
C2033,193.26
C1604,536.66
C2535,548.13
C1040,462.85
C2417,479.14
C1812,129.73
C2253,131.15
C1294,587.41
C1772,520.06
C2646,525.65
C1152,921.61
C2423,152.95
C1844,417.98
C1318,244.55
C1729,87.28
C1602,299.18
C1239,427.85
C1721,561.68
C1902,764.39
C1855,317.83
C2600,421.91
C1071,535.86
C2295,456.65
C1621,534.45
C1852,787.98
C2555,1333.5
C1297,470.08
C2323,650.86
C2215,422.28
C2112,377.88
C1830,744.05
C2602,265.48
C2608,1089.04
C1215,719.28
C2369,620.98
C1158,291.58
C1887,581.32
C1189,242.97
C1637,486.75
C1225,125.21
C2374,371.56
C2397,556.01
C1105,982.4
C1782,461.66
C1629,123.24
C1708,289.61
C2144,481.11
C1617,1011.84
C1149,571.96
C1323,459.19
C1064,690.45
C1019,299.34
C2269,623.7
C1416,828.35
C1250,932.35
C1741,463.56
C1016,707.14
C2675,953.99
C2436,667.92
C2039,759.7
C1253,715.95
C2028,1114.79
C1166,339.26
C1135,264.1
C1216,327.85
C1593,238.19
C1826,266.12
C1827,431.89
C1564,289.48
C1495,1025.43
C2653,913.22
C1392,619.88
C2128,326.1
C1282,517.53
C1521,1030.82
C2076,968.87
C1060,611.67
C2473,1116.02
C2557,808.04
C1835,771.8
C2224,893.56
C2222,391.7
C2430,814.17
C2497,563.1
C1494,965.57
C1457,504.17
C1525,1191.61
C1712,576.46
C2267,893.49
C1623,307.81
C2131,543.15
C2691,1064.49
C1147,831.92
C1692,914.07
C1570,819.99
C1474,109.58
C1633,137.54
C2113,599.15
C2175,940.41
C2303,1303.61
C2547,595.1
C2292,775.49
C1496,678.2
C1289,404.84
C1849,710.75
C1003,292.5
C2268,502.92
C2551,639.01
C2688,102.87
C1030,41.12
C1327,76.31
C2451,570.41
C1749,525.74
C1349,263.28
C2043,247.28
C1229,255.2
C2363,391.69
C1414,439.53
C2174,470.72
C2091,145.91
C2335,651.05
C1841,71.06
C2404,121.35
C1683,244.76
C1038,336.78
C2456,281.62
C1266,477.1
C2152,40.27
C1267,403.77
C2189,240.99
