구분,"강간,추행 검거","강간,추행 발생",강도 검거,강도 발생,살인 검거,살인 발생,절도 검거,절도 발생,폭력 검거,폭력 발생,구별
강남,433.0,513.0,10.0,12.0,3.0,5.0,1016.0,1941.0,1911.0,2283.0,강남구
강동,167.0,188.0,14.0,15.0,3.0,3.0,781.0,1640.0,1697.0,1942.0,강동구
강북,132.0,159.0,4.0,5.0,8.0,9.0,490.0,780.0,1625.0,1817.0,강북구
강서,222.0,265.0,5.0,6.0,9.0,10.0,1070.0,1689.0,2087.0,2445.0,양천구
관악,351.0,403.0,3.0,3.0,12.0,12.0,1137.0,2229.0,2355.0,2614.0,관악구
광진,224.0,255.0,4.0,4.0,2.0,2.0,874.0,1664.0,1407.0,1676.0,광진구
구로,142.0,197.0,5.0,5.0,6.0,6.0,1008.0,1763.0,1823.0,2204.0,구로구
금천,93.0,117.0,6.0,7.0,4.0,4.0,553.0,999.0,1310.0,1471.0,관악구
남대문,52.0,73.0,2.0,2.0,1.0,1.0,368.0,699.0,494.0,579.0,중구
노원,148.0,169.0,3.0,3.0,3.0,4.0,646.0,1404.0,1781.0,2163.0,노원구
도봉,87.0,82.0,2.0,2.0,0.0,0.0,379.0,861.0,1022.0,1234.0,도봉구
동대문,142.0,161.0,5.0,6.0,8.0,10.0,713.0,1440.0,1597.0,1784.0,동대문구
동작,121.0,226.0,2.0,1.0,1.0,1.0,592.0,1341.0,1370.0,1631.0,동작구
마포,287.0,348.0,3.0,4.0,8.0,9.0,679.0,1483.0,1557.0,1844.0,마포구
방배,50.0,63.0,1.0,1.0,1.0,1.0,159.0,348.0,365.0,423.0,서초구
서대문,149.0,159.0,1.0,2.0,3.0,3.0,524.0,1077.0,1029.0,1292.0,서대문구
서부,71.0,76.0,2.0,3.0,3.0,3.0,322.0,532.0,667.0,748.0,은평구
서초,253.0,333.0,3.0,5.0,4.0,4.0,801.0,1673.0,1415.0,1750.0,서초구
성동,98.0,115.0,3.0,3.0,5.0,5.0,565.0,1016.0,1103.0,1223.0,성동구
성북,77.0,95.0,2.0,2.0,0.0,0.0,233.0,439.0,610.0,672.0,성북구
송파,235.0,287.0,17.0,13.0,6.0,6.0,1006.0,2429.0,2280.0,2675.0,송파구
수서,194.0,195.0,1.0,2.0,2.0,1.0,475.0,1010.0,1200.0,1394.0,강남구
양천,90.0,109.0,3.0,3.0,5.0,5.0,718.0,1517.0,1270.0,1582.0,양천구
영등포,252.0,315.0,5.0,6.0,4.0,7.0,953.0,2188.0,2157.0,2701.0,영등포구
용산,186.0,230.0,6.0,6.0,3.0,5.0,534.0,1111.0,1327.0,1617.0,용산구
은평,74.0,95.0,1.0,1.0,1.0,1.0,434.0,839.0,956.0,1092.0,은평구
종로,93.0,115.0,4.0,4.0,6.0,9.0,284.0,602.0,792.0,964.0,종로구
종암,44.0,47.0,0.0,1.0,4.0,4.0,347.0,549.0,630.0,758.0,성북구
중랑,153.0,183.0,6.0,5.0,9.0,10.0,889.0,1506.0,1724.0,2022.0,중랑구
중부,76.0,113.0,4.0,3.0,1.0,1.0,495.0,943.0,830.0,997.0,중구
혜화,53.0,77.0,3.0,3.0,0.0,0.0,310.0,581.0,628.0,747.0,종로구
