구분,죄종,발생검거,건수
중부,살인,발생,1
중부,살인,검거,1
중부,강도,발생,3
중부,강도,검거,4
중부,"강간,추행",발생,113
중부,"강간,추행",검거,76
중부,절도,발생,943
중부,절도,검거,495
중부,폭력,발생,997
중부,폭력,검거,830
종로,살인,발생,9
종로,살인,검거,6
종로,강도,발생,4
종로,강도,검거,4
종로,"강간,추행",발생,115
종로,"강간,추행",검거,93
종로,절도,발생,602
종로,절도,검거,284
종로,폭력,발생,964
종로,폭력,검거,792
남대문,살인,발생,1
남대문,살인,검거,1
남대문,강도,발생,2
남대문,강도,검거,2
남대문,"강간,추행",발생,73
남대문,"강간,추행",검거,52
남대문,절도,발생,699
남대문,절도,검거,368
남대문,폭력,발생,579
남대문,폭력,검거,494
서대문,살인,발생,3
서대문,살인,검거,3
서대문,강도,발생,2
서대문,강도,검거,1
서대문,"강간,추행",발생,159
서대문,"강간,추행",검거,149
서대문,절도,발생,1077
서대문,절도,검거,524
서대문,폭력,발생,1292
서대문,폭력,검거,1029
혜화,살인,발생,0
혜화,살인,검거,0
혜화,강도,발생,3
혜화,강도,검거,3
혜화,"강간,추행",발생,77
혜화,"강간,추행",검거,53
혜화,절도,발생,581
혜화,절도,검거,310
혜화,폭력,발생,747
혜화,폭력,검거,628
용산,살인,발생,5
용산,살인,검거,3
용산,강도,발생,6
용산,강도,검거,6
용산,"강간,추행",발생,230
용산,"강간,추행",검거,186
용산,절도,발생,1111
용산,절도,검거,534
용산,폭력,발생,1617
용산,폭력,검거,1327
성북,살인,발생,0
성북,살인,검거,0
성북,강도,발생,2
성북,강도,검거,2
성북,강간,발생,95
성북,강간,검거,77
성북,절도,발생,439
성북,절도,검거,233
성북,폭력,발생,672
성북,폭력,검거,610
동대문,살인,발생,10
동대문,살인,검거,8
동대문,강도,발생,6
동대문,강도,검거,5
동대문,"강간,추행",발생,161
동대문,"강간,추행",검거,142
동대문,절도,발생,1440
동대문,절도,검거,713
동대문,폭력,발생,1784
동대문,폭력,검거,1597
마포,살인,발생,9
마포,살인,검거,8
마포,강도,발생,4
마포,강도,검거,3
마포,"강간,추행",발생,348
마포,"강간,추행",검거,287
마포,절도,발생,1483
마포,절도,검거,679
마포,폭력,발생,1844
마포,폭력,검거,1557
영등포,살인,발생,7
영등포,살인,검거,4
영등포,강도,발생,6
영등포,강도,검거,5
영등포,"강간,추행",발생,315
영등포,"강간,추행",검거,252
영등포,절도,발생,2188
영등포,절도,검거,953
영등포,폭력,발생,2701
영등포,폭력,검거,2157
성동,살인,발생,5
성동,살인,검거,5
성동,강도,발생,3
성동,강도,검거,3
성동,"강간,추행",발생,115
성동,"강간,추행",검거,98
성동,절도,발생,1016
성동,절도,검거,565
성동,폭력,발생,1223
성동,폭력,검거,1103
동작,살인,발생,1
동작,살인,검거,1
동작,강도,발생,1
동작,강도,검거,2
동작,"강간,추행",발생,226
동작,"강간,추행",검거,121
동작,절도,발생,1341
동작,절도,검거,592
동작,폭력,발생,1631
동작,폭력,검거,1370
광진,살인,발생,2
광진,살인,검거,2
광진,강도,발생,4
광진,강도,검거,4
광진,"강간,추행",발생,255
광진,"강간,추행",검거,224
광진,절도,발생,1664
광진,절도,검거,874
광진,폭력,발생,1676
광진,폭력,검거,1407
서부,살인,발생,3
서부,살인,검거,3
서부,강도,발생,3
서부,강도,검거,2
서부,"강간,추행",발생,76
서부,"강간,추행",검거,71
서부,절도,발생,532
서부,절도,검거,322
서부,폭력,발생,748
서부,폭력,검거,667
강북,살인,발생,9
강북,살인,검거,8
강북,강도,발생,5
강북,강도,검거,4
강북,"강간,추행",발생,159
강북,"강간,추행",검거,132
강북,절도,발생,780
강북,절도,검거,490
강북,폭력,발생,1817
강북,폭력,검거,1625
금천,살인,발생,4
금천,살인,검거,4
금천,강도,발생,7
금천,강도,검거,6
금천,"강간,추행",발생,117
금천,"강간,추행",검거,93
금천,절도,발생,999
금천,절도,검거,553
금천,폭력,발생,1471
금천,폭력,검거,1310
중랑,살인,발생,10
중랑,살인,검거,9
중랑,강도,발생,5
중랑,강도,검거,6
중랑,"강간,추행",발생,183
중랑,"강간,추행",검거,153
중랑,절도,발생,1506
중랑,절도,검거,889
중랑,폭력,발생,2022
중랑,폭력,검거,1724
강남,살인,발생,5
강남,살인,검거,3
강남,강도,발생,12
강남,강도,검거,10
강남,"강간,추행",발생,513
강남,"강간,추행",검거,433
강남,절도,발생,1941
강남,절도,검거,1016
강남,폭력,발생,2283
강남,폭력,검거,1911
관악,살인,발생,12
관악,살인,검거,12
관악,강도,발생,3
관악,강도,검거,3
관악,"강간,추행",발생,403
관악,"강간,추행",검거,351
관악,절도,발생,2229
관악,절도,검거,1137
관악,폭력,발생,2614
관악,폭력,검거,2355
강서,살인,발생,10
강서,살인,검거,9
강서,강도,발생,6
강서,강도,검거,5
강서,"강간,추행",발생,265
강서,"강간,추행",검거,222
강서,절도,발생,1689
강서,절도,검거,1070
강서,폭력,발생,2445
강서,폭력,검거,2087
강동,살인,발생,3
강동,살인,검거,3
강동,강도,발생,15
강동,강도,검거,14
강동,"강간,추행",발생,188
강동,"강간,추행",검거,167
강동,절도,발생,1640
강동,절도,검거,781
강동,폭력,발생,1942
강동,폭력,검거,1697
종암,살인,발생,4
종암,살인,검거,4
종암,강도,발생,1
종암,강도,검거,0
종암,강간,발생,47
종암,강간,검거,44
종암,절도,발생,549
종암,절도,검거,347
종암,폭력,발생,758
종암,폭력,검거,630
구로,살인,발생,6
구로,살인,검거,6
구로,강도,발생,5
구로,강도,검거,5
구로,"강간,추행",발생,197
구로,"강간,추행",검거,142
구로,절도,발생,1763
구로,절도,검거,1008
구로,폭력,발생,2204
구로,폭력,검거,1823
서초,살인,발생,4
서초,살인,검거,4
서초,강도,발생,5
서초,강도,검거,3
서초,"강간,추행",발생,333
서초,"강간,추행",검거,253
서초,절도,발생,1673
서초,절도,검거,801
서초,폭력,발생,1750
서초,폭력,검거,1415
양천,살인,발생,5
양천,살인,검거,5
양천,강도,발생,3
양천,강도,검거,3
양천,강간,발생,109
양천,강간,검거,90
양천,절도,발생,1517
양천,절도,검거,718
양천,폭력,발생,1582
양천,폭력,검거,1270
송파,살인,발생,6
송파,살인,검거,6
송파,강도,발생,13
송파,강도,검거,17
송파,"강간,추행",발생,287
